Ländercode,Bundesland-Code,Postleitzahl,Stadt,Steuersatz %,Steuername,Priorität,Zusammengesetzt,Versand,Steuerklasse
AT,,,,5.0000,MwSt. AT,1,0,1,Ermäßigter Steuersatz
BE,,,,5.0000,MwSt. BE,1,0,1,Ermäßigter Steuersatz
BG,,,,5.0000,MwSt. BG,1,0,1,Ermäßigter Steuersatz
CY,,,,5.0000,MwSt. CY,1,0,1,Ermäßigter Steuersatz
CZ,,,,5.0000,MwSt. CZ,1,0,1,Ermäßigter Steuersatz
DE,,,,5.0000, Tax,1,0,1,Ermäßigter Steuersatz
DK,,,,5.0000,MwSt. DK,1,0,1,Ermäßigter Steuersatz
EE,,,,5.0000,MwSt. EE,1,0,1,Ermäßigter Steuersatz
ES,,,,5.0000,MwSt. ES,1,0,1,Ermäßigter Steuersatz
FI,,,,5.0000,MwSt. FI,1,0,1,Ermäßigter Steuersatz
FR,,,,5.0000,MwSt. FR,1,0,1,Ermäßigter Steuersatz
GB,,,,5.0000,MwSt. GB,1,0,1,Ermäßigter Steuersatz
GR,,,,5.0000,MwSt. GR,1,0,1,Ermäßigter Steuersatz
HR,,,,5.0000,MwSt. HR,1,0,1,Ermäßigter Steuersatz
HU,,,,5.0000,MwSt. HU,1,0,1,Ermäßigter Steuersatz
IE,,,,5.0000,MwSt. IE,1,0,1,Ermäßigter Steuersatz
IT,,,,5.0000,MwSt. IT,1,0,1,Ermäßigter Steuersatz
LT,,,,5.0000,MwSt. LT,1,0,1,Ermäßigter Steuersatz
LU,,,,5.0000,MwSt. LU,1,0,1,Ermäßigter Steuersatz
LV,,,,5.0000,MwSt. LV,1,0,1,Ermäßigter Steuersatz
MT,,,,5.0000,MwSt. MT,1,0,1,Ermäßigter Steuersatz
NL,,,,5.0000,MwSt. NL,1,0,1,Ermäßigter Steuersatz
PL,,,,5.0000,MwSt. PL,1,0,1,Ermäßigter Steuersatz
PT,,,,5.0000,MwSt. PT,1,0,1,Ermäßigter Steuersatz
RO,,,,5.0000,MwSt. RO,1,0,1,Ermäßigter Steuersatz
SE,,,,5.0000,MwSt. SE,1,0,1,Ermäßigter Steuersatz
SI,,,,5.0000,MwSt. SI,1,0,1,Ermäßigter Steuersatz
SK,,,,5.0000,MwSt. SK,1,0,1,Ermäßigter Steuersatz
